iter	Passed	Remaining
0	26	5344
1	61	6079
2	81	5359
3	94	4643
4	107	4208
5	120	3890
6	135	3725
7	150	3605
8	160	3401
9	173	3304
10	212	3655
11	237	3714
12	281	4043
13	383	5089
14	404	4994
15	824	9477
16	850	9150
17	865	8752
18	878	8364
19	890	8012
20	902	7693
21	914	7396
22	925	7118
23	936	6869
24	947	6634
25	958	6415
26	970	6216
27	980	6020
28	990	5838
29	1000	5672
30	1010	5511
31	1021	5360
32	1032	5224
33	1042	5089
34	1052	4960
35	1063	4844
36	1074	4731
37	1082	4613
38	1090	4501
39	1099	4399
40	1107	4294
41	1115	4197
42	1124	4105
43	1132	4016
44	1140	3929
45	1149	3848
46	1159	3773
47	1167	3697
48	1175	3622
49	1183	3550
50	1192	3483
51	1200	3415
52	1207	3350
53	1215	3285
54	1223	3224
55	1231	3165
56	1239	3108
57	1246	3052
58	1255	3000
59	1263	2948
60	1273	2902
61	1282	2855
62	1292	2811
63	1300	2763
64	1308	2717
65	1316	2673
66	1432	2843
67	1442	2800
68	1454	2760
69	1466	2723
70	1477	2684
71	1489	2648
72	1499	2609
73	1509	2571
74	1520	2534
75	1531	2499
76	1542	2464
77	1552	2428
78	1563	2394
79	1572	2358
80	1583	2326
81	1594	2294
82	1605	2262
83	1617	2233
84	1628	2203
85	1639	2173
86	1649	2142
87	1660	2113
88	1669	2081
89	1677	2050
90	1686	2020
91	1695	1989
92	1703	1959
93	1711	1930
94	1722	1903
95	1730	1874
96	1737	1845
97	1745	1817
98	1753	1789
99	1762	1762
100	1773	1738
101	1783	1713
102	1792	1687
103	1799	1661
104	1809	1637
105	1819	1613
106	1827	1588
107	1835	1563
108	1844	1539
109	1852	1515
110	1860	1491
111	1868	1468
112	1876	1445
113	1885	1422
114	1893	1399
115	1902	1377
116	1911	1355
117	1920	1334
118	1927	1312
119	1935	1290
120	1944	1269
121	1952	1248
122	2080	1302
123	2109	1292
124	2218	1331
125	2247	1319
126	2270	1304
127	2288	1287
128	2388	1314
129	2413	1299
130	2451	1291
131	2901	1494
132	2939	1480
133	2987	1471
134	3793	1826
135	3809	1792
136	3819	1756
137	3865	1736
138	4032	1769
139	4260	1825
140	4551	1904
141	4564	1864
142	5359	2136
143	5386	2094
144	5404	2050
145	5418	2004
146	5436	1960
147	5450	1914
148	5465	1870
149	5478	1826
150	5495	1783
151	5507	1739
152	5526	1697
153	5579	1666
154	5621	1632
155	5636	1589
156	5690	1558
157	5720	1520
158	5750	1482
159	6072	1518
160	6604	1599
161	6833	1602
162	8101	1838
163	8800	1931
164	9345	1982
165	9429	1931
166	9472	1871
167	9529	1815
168	9649	1770
169	9919	1750
170	10060	1706
171	10529	1714
172	10967	1711
173	11319	1691
174	11438	1634
175	11555	1575
176	11667	1516
177	11783	1456
178	11889	1394
179	11997	1333
180	12017	1261
181	12111	1197
182	12127	1126
183	12160	1057
184	12249	993
185	12281	924
186	12376	860
187	12466	795
188	12529	729
189	12553	660
190	12661	596
191	12682	528
192	12781	463
193	12802	395
194	12939	331
195	13032	265
196	13069	199
197	13181	133
198	13312	66
199	13366	0
