,Target,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,On_book_cat,Important_client_score,Avg_Trans_Amt,Customer_Age_Category,Days_Inactive_Last_Year,RecencyScore,Affluent_criteria,Budget_criteria,Young_prof_criteria,High_net_worth_individual,Product_by_Year,Marital_Status,Total_Amt_Increased,Has_debt,MonetaryScore,FrequencyScore,Age_&_Marital,Gender_&_Age,Card_&_Age,Gender_&_Frequency,Gender_&_Monetary,Total_Ct_Increased,Ct_vs_Amt,Family_criteria,Credit_builder_criteria,Digital_criteria,Rewards_maximizer,May_marry,Gender
0,0.0,45.0,3.0,1,2,0.0,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,1144.0,42.0,1.625,0.061,2.0,16.25,27.238095238095237,1.0,30.0,5.0,0.0,0.0,0.0,0.0,1.5384615384615385,Married,1,1,1,1,Middle_Aged_Married,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,1,Inc_ct_inc_amt,1,0,0,0,0,1
1,0.0,44.0,2.0,3,1,0.0,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311,2.0,9.0,45.333333333333336,1.0,30.0,5.0,0.0,0.0,0.0,0.0,1.0,Married,1,1,1,1,Middle_Aged_Married,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,0,Dec_ct_inc_amt,0,0,0,0,0,1
2,0.0,48.0,2.0,3,3,0.0,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.144,2.0,18.0,45.03125,1.0,90.0,3.0,0.0,0.0,0.0,0.0,2.0,Single,1,1,1,1,Middle_Aged_Single,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,0,Dec_ct_inc_amt,0,0,0,0,0,1
3,0.0,42.0,5.0,0,4,0.0,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,1.0,12.916666666666668,28.595238095238095,1.0,90.0,3.0,1.0,0.0,0.0,0.0,1.9354838709677418,Unknown,0,1,1,1,Middle_Aged_Unknown,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,0,Dec_ct_dec_amt,1,0,0,0,0,1
4,0.0,65.0,1.0,2,1,0.0,54.0,6.0,2.0,3.0,9095.0,1587.0,7508.0,1.433,1314.0,26.0,1.364,0.174,3.0,27.0,50.53846153846154,2.0,60.0,4.0,0.0,0.0,0.0,0.0,1.3333333333333333,Married,1,1,1,1,Senior_Married,M_Senior,Blue_Senior,M_1,M_1,1,Inc_ct_inc_amt,0,0,0,0,0,1
5,0.0,57.0,2.0,3,0,0.0,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279,3.0,20.0,54.13793103448276,2.0,60.0,4.0,0.0,0.0,0.0,0.0,1.25,Married,1,1,1,1,Senior_Married,F_Senior,Blue_Senior,F_1,F_1,0,Dec_ct_inc_amt,0,1,0,0,0,0
6,0.0,41.0,3.0,2,3,0.0,34.0,4.0,4.0,1.0,13535.0,1291.0,12244.0,0.653,1028.0,21.0,1.625,0.095,1.0,11.333333333333334,48.95238095238095,1.0,120.0,2.0,0.0,0.0,0.0,0.0,1.4117647058823528,Married,0,1,1,1,Middle_Aged_Married,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,1,Inc_ct_dec_amt,1,0,0,0,0,1
7,0.0,45.0,2.0,3,2,0.0,37.0,6.0,1.0,2.0,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,2.0,18.5,57.476190476190474,1.0,30.0,5.0,0.0,0.0,0.0,0.0,1.9459459459459458,Married,0,1,1,1,Middle_Aged_Married,F_Middle_Aged,Blue_Middle_Aged,F_1,F_1,0,Dec_ct_dec_amt,0,0,0,0,0,0
8,0.0,47.0,1.0,5,2,0.0,42.0,5.0,2.0,0.0,20979.0,1800.0,19179.0,0.906,1178.0,27.0,0.929,0.086,2.0,17.5,43.629629629629626,1.0,60.0,4.0,0.0,0.0,0.0,0.0,1.4285714285714286,Divorced,0,1,1,1,Middle_Aged_Divorced,M_Middle_Aged,Blue_Middle_Aged,M_1,M_1,0,Dec_ct_dec_amt,0,0,1,0,0,1
9,1.0,62.0,0.0,3,0,0.0,49.0,2.0,3.0,3.0,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0,3.0,8.166666666666666,43.25,2.0,90.0,3.0,0.0,0.0,0.0,0.0,0.489795918367347,Married,1,0,1,1,Senior_Married,F_Senior,Blue_Senior,F_1,F_1,0,Dec_ct_inc_amt,0,1,0,0,0,0
